Variable,ADF Stat,ADF p-value,ADF Lags,KPSS Stat,KPSS p-value,Conclusion
Potato Price,-1.7246,0.4185,14,0.1502,0.0465,❌ Non-Stationary
Real Price,-4.8762,0.0,13,0.1266,0.0858,✅ Stationary
CPI All Items,-0.5273,0.8866,12,0.2799,0.01,❌ Non-Stationary
CPI Vegetables,1.291,0.9966,7,0.5112,0.01,❌ Non-Stationary
PPI Farm Products,-1.6766,0.4432,1,0.1999,0.016,❌ Non-Stationary
Temperature,-3.4212,0.0103,14,0.0131,0.1,✅ Stationary
Precipitation,-3.1866,0.0208,11,0.1139,0.1,✅ Stationary
Production,-1.9196,0.3229,12,0.2839,0.01,❌ Non-Stationary
Price (1st diff),-5.1619,0.0,16,0.0382,0.1,✅ Stationary
