Comparison,DM Stat,p-value,Result
XGBoost vs Random Forest,-0.661,0.5125,❌ Not sig.
XGBoost vs ARIMA,-3.3279,0.0019,✅ Sig.
XGBoost vs SARIMA,-5.6871,0.0,✅ Sig.
