Feature,Mean_SHAP
Price_lag1,1.3462954
Month_sin,0.32081473
CPI_AllItems,0.12349415
Price_roll3_mean,0.10212059
Price_lag6,0.061732017
CPI_Vegetables,0.05953779
PPI_x_Production,0.055433683
Avg_Temp_F,0.05067449
Price_lag3,0.047792353
Price_roll6_mean,0.038899183
Price_lag12,0.033745404
Precipitation_inch,0.02850915
PPI_FarmProducts,0.026387095
Month_cos,0.019085463
Annual_Production_CWT,0.018048542
Price_lag2,0.016750148
Price_roll12_mean,0.015236443
Year_trend,0.0
