Model,RMSE,MAE,MAPE,R²,Theil's U
XGBoost,0.4499,0.3588,4.0691,0.6935,0.7832
Random Forest,0.4694,0.3897,4.5034,0.6663,0.8172
Hybrid ARIMA-LSTM,0.926,0.7437,8.9315,-0.3385,1.6123
LSTM,0.9359,0.7996,9.1212,-0.3265,1.6293
ARIMA,0.9413,0.7406,9.0148,-0.3417,1.6386
SARIMA,1.0325,0.9184,10.1511,-0.6145,1.7974
